organization_id,organization_key,name,address,city,state,zip,type,bank_account,created_dtm
445,eb743484-449a-4785-8663-4677553ea956,uniQure N.V.,5463 Toquero Street,Dallas,Texas,75277,Basic,113008766,2024-10-23 12:01:48
49,bb3891bf-95dd-4775-97fa-0262f0cdadb4,iStar Financial Inc.,4928 Bellamy Lane,Fresno,California,93726,Affiliate,,2024-10-21 21:56:13
449,efe24209-7902-4d0b-a287-62f6a719b1a4,iShares S&P Global Timber & Forestry Index Fund,1114 Carlton Lane,New York City,New York,10079,Business,,2024-10-23 12:14:30
279,3d549879-afbd-48d5-bd92-0da33caa26dc,iShares Nasdaq Biotechnology Index Fund,7372 Castleberry Circle,Colorado Springs,Colorado,80995,Partner,,2024-10-22 19:51:02
37,7a7a829d-9552-4283-b416-6e5c3ae408f8,iShares Morningstar Mid-Cap ETF,14464 Midnight Pass Court,Sparks,Nevada,89436,Partner,092901706,2024-10-21 20:31:39
312,43a3dd76-f505-435d-92bb-1404a1e58880,iPass Inc.,4928 Biggs Place,Wilkes Barre,Pennsylvania,18763,Moderator,021214163,2024-10-22 23:10:10
102,9fcc0366-f4fc-4403-ac9b-6cc322963dc1,"iKang Healthcare Group, Inc.",11851 Guido Avenue,Dayton,Ohio,45432,Seasonal,,2024-10-22 02:28:55
366,1ad6644b-0387-4637-a095-887493f12b9f,"Zimmer Biomet Holdings, Inc.",10802 Pawley's Island Path,Miami Beach,Florida,33141,Premium,,2024-10-23 04:32:35
247,a3aac5c2-c05d-41e1-adc8-bfa851f03831,"Yield10 Bioscience, Inc.",10073 Polacheck Place,Pocatello,Idaho,83206,Family,103107402,2024-10-22 16:54:16
198,ae02e5ee-59c8-41c5-8505-10dad6cfe263,"XG Technology, Inc",313 Gomez Place,Brooklyn,New York,11220,Student,321171184,2024-10-22 11:49:44
469,7a3668fd-5895-42c7-a6d8-17ed46c8ad85,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond F,14074 Fort Lawn Loop,Tampa,Florida,33625,Individual,,2024-10-23 14:18:27
68,0c7e7078-d123-4b96-aa1d-d87dae0b2479,"Windstream Holdings, Inc.",13661 Laurel Hill Lane,Houston,Texas,77025,Family,051400646,2024-10-21 23:26:34
237,154edc30-0e48-43f4-897b-078b62fc4bf9,"Williams Companies, Inc. (The)",11952 Evelynton Loop,Vancouver,Washington,98687,Lifetime,,2024-10-22 15:56:28
360,92c36989-c98b-4565-af29-9e623cf5a40a,Westwood Holdings Group Inc,13138 Trimarche Terrace,Springfield,Missouri,65898,Family,,2024-10-23 03:48:30
348,6a09da92-16de-4ca9-bc4c-60bca225c17f,Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd,13778 Stenerson Street,Omaha,Nebraska,68110,Premium,,2024-10-23 02:31:42
56,4fdd267e-9d81-4833-8bc9-850597bfa645,Western Asset Mortgage Capital Corporation,1625 Wiechens Way,Anaheim,California,92825,Family,,2024-10-21 22:27:24
292,680395cf-8625-493d-b65f-8acab6765fba,Westamerica Bancorporation,8609 Wielenga Place,Lexington,Kentucky,40576,Moderator,074904394,2024-10-22 21:15:30
63,88c5a4a9-09a6-4e9b-9149-8b5a3f3163ce,West Bancorporation,6901 Hershey Lane,Austin,Texas,78754,Lifetime,111323689,2024-10-21 23:01:22
118,d46fed93-f32d-479b-8a1a-db00061eaac5,"WesBanco, Inc.",5718 Victory Drive,Champaign,Illinois,61825,Family,122241912,2024-10-22 04:05:55
414,b6c7344c-a547-4955-9692-8f927372ed9c,Webster Financial Corporation,12563 Jeff Anderson Way,Garden Grove,California,92645,Trial,064102740,2024-10-23 08:43:25
138,2b433249-9ab0-4e82-ba14-da6e2f7913ea,"Waste Management, Inc.",1610 Elkington Road,Washington,District of Columbia,20404,Basic,,2024-10-22 05:56:19
165,b9c9e422-1408-40a3-a106-b0da32d86570,"Washington Trust Bancorp, Inc.",10411 Jaguar Court,Flushing,New York,11388,Temporary,053208066,2024-10-22 08:39:33
20,c7b675fd-1e0e-40b5-85c8-cd9a6aeee320,Washington Prime Group Inc.,12032 Davidson Avenue,Jersey City,New Jersey,07310,Reseller,,2024-10-21 18:48:38
459,49e34e4f-08ed-408d-ad77-7de98be12583,"WCF Bancorp, Inc.",3504 Waters Lane,Anaheim,California,92805,VIP,031305596,2024-10-23 13:22:08
161,b3dff0f5-c365-4181-b097-4c7cfc6354e3,W.R. Berkley Corporation,4110 Jasper Way,Young America,Minnesota,55564,Individual,,2024-10-22 08:27:12
406,624cae19-c552-471c-8e95-02b22a3fbfdc,Voya Asia Pacific High Dividend Equity Income Fund,13467 Richfield Street,Nashville,Tennessee,37240,Family,,2024-10-23 08:00:44
106,701651bc-3060-4f4d-ac9e-248c14894945,Vornado Realty Trust,3233 Hildalgo Drive,Fresno,California,93778,Guest,,2024-10-22 02:57:42
16,e1ea1e86-0960-46e7-b70a-b10d19ed0905,Vodafone Group Plc,13527 Van Buren Way,San Jose,California,95150,VIP,091304634,2024-10-21 18:26:51
