user_id,user_key,first_name,last_name,email_address,normalized_name,organization_key,role_type,treasuryId,last_login,status,updated_date,imported_date,date_registered,card_id,employee_id,parent_key,sensitive_username,parent_first_name,parent_last_name,shipping_address,shipping_address2,shipping_city,shipping_state,shipping_zip,is_direct_pay_user,is_direct_pay_admin,is_direct_pay_license_admin,user_district_key,user_school_key
1,a5152d84-7a48-48a8-898a-ad438f4e01c6,Rhea,Castagnasso,rhea.castagnasso@gmail.com,Rhea Castagnasso,9ee1886a-a429-4954-ac01-47eeaa2b066d,Support Staff,a5152d84-7a48-48a8-8,2024-12-01 03:07:40,1,2024-12-01 03:07:41,2024-10-21 17:13:44,2024-12-01 03:07:41,a5152d84-7a48-48a8-898a-ad438f4e01c6,a5152d84-7a48-48a8-898a-ad438f4e01c6,a5152d84-7a48-48a8-898a-ad438f4e01c6,rcastagnasso35391,Rhea,Castagnasso,1338 Benitez Street,1338 Benitez Street,Boise,ID,83716,1,1,1,a5152d84-7a48-48a8-898a-ad438f4e01c6,a5152d84-7a48-48a8-898a-ad438f4e01c6
2,e16dec49-addb-460b-afd1-435ebb44ac40,Darcy,Sammut,darcy.sammut@gmail.com,Darcy Sammut,a29547a6-110f-4f71-a073-216ef67950c6,Trainer,e16dec49-addb-460b-a,2025-05-14 17:10:34,0,2025-05-14 17:10:35,2024-10-21 17:15:32,2025-05-14 17:10:35,e16dec49-addb-460b-afd1-435ebb44ac40,e16dec49-addb-460b-afd1-435ebb44ac40,e16dec49-addb-460b-afd1-435ebb44ac40,dsammut63856,Darcy,Sammut,8101 Becerril Court,8101 Becerril Court,Odessa,TX,79769,0,0,0,e16dec49-addb-460b-afd1-435ebb44ac40,e16dec49-addb-460b-afd1-435ebb44ac40
3,8616beaf-4d9e-45db-a025-9193d8603be0,Nadiya,Weippert,nadiya.weippert@gmail.com,Nadiya Weippert,220adad5-8257-4a9e-815c-6f70cdf08f7b,Administrator,8616beaf-4d9e-45db-a,2024-10-29 21:39:22,0,2024-10-29 21:39:23,2024-10-21 17:21:23,2024-10-29 21:39:23,8616beaf-4d9e-45db-a025-9193d8603be0,8616beaf-4d9e-45db-a025-9193d8603be0,8616beaf-4d9e-45db-a025-9193d8603be0,nweippert29060,Nadiya,Weippert,13 Innfields Court,13 Innfields Court,Erie,PA,16550,1,1,1,8616beaf-4d9e-45db-a025-9193d8603be0,8616beaf-4d9e-45db-a025-9193d8603be0
4,5889c55e-4535-4cb7-8765-6a7fc4b1e248,Darwin,Duxfield,darwin.duxfield@hotmail.com,Darwin Duxfield,b6d4fe37-cb46-4f1c-8453-16d2434a62fd,Developer,5889c55e-4535-4cb7-8,2025-10-20 06:09:33,1,2025-10-20 06:09:34,2024-10-21 17:22:23,2025-10-20 06:09:34,5889c55e-4535-4cb7-8765-6a7fc4b1e248,5889c55e-4535-4cb7-8765-6a7fc4b1e248,5889c55e-4535-4cb7-8765-6a7fc4b1e248,dduxfield28513,Darwin,Duxfield,14616 Alyssa Lane,14616 Alyssa Lane,Fort Smith,AR,72916,0,0,0,5889c55e-4535-4cb7-8765-6a7fc4b1e248,5889c55e-4535-4cb7-8765-6a7fc4b1e248
5,54999a9e-5973-4682-8723-a075dce058dd,Lura,Pea,lura.pea@yahoo.com,Lura Pea,2c862d3d-7958-46ef-82dc-fa90b543ac37,Analyst,54999a9e-5973-4682-8,2024-11-28 10:36:15,1,2024-11-28 10:36:16,2024-10-21 17:32:09,2024-11-28 10:36:16,54999a9e-5973-4682-8723-a075dce058dd,54999a9e-5973-4682-8723-a075dce058dd,54999a9e-5973-4682-8723-a075dce058dd,lpea53190,Lura,Pea,1227 Brodeur Avenue,1227 Brodeur Avenue,Shawnee Mission,KS,66276,1,1,1,54999a9e-5973-4682-8723-a075dce058dd,54999a9e-5973-4682-8723-a075dce058dd
6,990496d2-1793-4645-bb7e-7a31d0ff7471,Shandra,Spurgin,shandra.spurgin@hotmail.com,Shandra Spurgin,f3190d06-98b2-4e7d-bad6-37ce1f017b48,Consultant,990496d2-1793-4645-b,2025-04-09 11:00:53,0,2025-04-09 11:00:54,2024-10-21 17:33:53,2025-04-09 11:00:54,990496d2-1793-4645-bb7e-7a31d0ff7471,990496d2-1793-4645-bb7e-7a31d0ff7471,990496d2-1793-4645-bb7e-7a31d0ff7471,sspurgin42329,Shandra,Spurgin,6652 Karen Garner Place,6652 Karen Garner Place,Pittsburgh,PA,15235,1,1,1,990496d2-1793-4645-bb7e-7a31d0ff7471,990496d2-1793-4645-bb7e-7a31d0ff7471
7,dd3f2d19-266a-4a57-b07a-8b6fea245771,Rozanna,Barfoot,rozanna.barfoot@gmail.com,Rozanna Barfoot,58818768-efa4-47ea-ac7a-de9f2c5547dc,Contractor,dd3f2d19-266a-4a57-b,2025-05-20 09:13:31,0,2025-05-20 09:13:32,2024-10-21 17:38:52,2025-05-20 09:13:32,dd3f2d19-266a-4a57-b07a-8b6fea245771,dd3f2d19-266a-4a57-b07a-8b6fea245771,dd3f2d19-266a-4a57-b07a-8b6fea245771,rbarfoot42667,Rozanna,Barfoot,8334 Nation Court,8334 Nation Court,Washington,DC,20010,0,0,0,dd3f2d19-266a-4a57-b07a-8b6fea245771,dd3f2d19-266a-4a57-b07a-8b6fea245771
8,a515a118-9542-4bb6-846f-db02f706c033,Virgie,Summerfield,virgie.summerfield@yahoo.com,Virgie Summerfield,74f366a4-ad7d-4168-8eb1-be470fff7422,Employee,a515a118-9542-4bb6-8,2025-04-06 09:53:28,1,2025-04-06 09:53:29,2024-10-21 17:44:52,2025-04-06 09:53:29,a515a118-9542-4bb6-846f-db02f706c033,a515a118-9542-4bb6-846f-db02f706c033,a515a118-9542-4bb6-846f-db02f706c033,vsummerfield59098,Virgie,Summerfield,6527 Vanceboro Court,6527 Vanceboro Court,Fresno,CA,93750,1,1,1,a515a118-9542-4bb6-846f-db02f706c033,a515a118-9542-4bb6-846f-db02f706c033
9,3dd6b762-c1b0-4209-9e81-1a616908e18f,Sarajane,Beston,sarajane.beston@gmail.com,Sarajane Beston,662cc253-fe18-4dcf-840a-f2352d3071ad,Guest,3dd6b762-c1b0-4209-9,2025-04-11 10:56:40,0,2025-04-11 10:56:41,2024-10-21 17:49:46,2025-04-11 10:56:41,3dd6b762-c1b0-4209-9e81-1a616908e18f,3dd6b762-c1b0-4209-9e81-1a616908e18f,3dd6b762-c1b0-4209-9e81-1a616908e18f,sbeston2596,Sarajane,Beston,6734 Poppy Circle,6734 Poppy Circle,Austin,TX,78759,1,1,1,3dd6b762-c1b0-4209-9e81-1a616908e18f,3dd6b762-c1b0-4209-9e81-1a616908e18f
10,ef90211e-7918-4dc8-b8fe-f5b7146b8d14,Brian,Nanson,brian.nanson@sfr.fr,Brian Nanson,1c40b9c8-7976-4ff7-8709-01c9041fd175,Team Lead,ef90211e-7918-4dc8-b,2025-08-21 20:21:06,1,2025-08-21 20:21:07,2024-10-21 17:54:48,2025-08-21 20:21:07,ef90211e-7918-4dc8-b8fe-f5b7146b8d14,ef90211e-7918-4dc8-b8fe-f5b7146b8d14,ef90211e-7918-4dc8-b8fe-f5b7146b8d14,bnanson52565,Brian,Nanson,12175 Wheelock Street,12175 Wheelock Street,Denver,CO,80262,0,0,0,ef90211e-7918-4dc8-b8fe-f5b7146b8d14,ef90211e-7918-4dc8-b8fe-f5b7146b8d14
11,a4fa1c3a-654d-4179-ad3c-fd23492d4e42,Aida,Crigin,aida.crigin@hotmail.com,Aida Crigin,836be7a8-7074-4de3-8c18-2737402ca488,Director,a4fa1c3a-654d-4179-a,2025-04-19 17:37:57,0,2025-04-19 17:37:58,2024-10-21 18:03:06,2025-04-19 17:37:58,a4fa1c3a-654d-4179-ad3c-fd23492d4e42,a4fa1c3a-654d-4179-ad3c-fd23492d4e42,a4fa1c3a-654d-4179-ad3c-fd23492d4e42,acrigin33473,Aida,Crigin,7074 Wax Berry Court,7074 Wax Berry Court,Santa Monica,CA,90410,1,1,1,a4fa1c3a-654d-4179-ad3c-fd23492d4e42,a4fa1c3a-654d-4179-ad3c-fd23492d4e42
12,38d305af-8748-468b-ab91-5291d73bc956,Yurik,Greschik,yurik.greschik@yahoo.com,Yurik Greschik,3f06c8c9-a375-4e5c-b368-55a2f80551c8,Supervisor,38d305af-8748-468b-a,2025-06-22 08:38:44,1,2025-06-22 08:38:45,2024-10-21 18:08:20,2025-06-22 08:38:45,38d305af-8748-468b-ab91-5291d73bc956,38d305af-8748-468b-ab91-5291d73bc956,38d305af-8748-468b-ab91-5291d73bc956,ygreschik55152,Yurik,Greschik,9689 Virginia Drive,9689 Virginia Drive,Carol Stream,IL,60351,0,0,0,38d305af-8748-468b-ab91-5291d73bc956,38d305af-8748-468b-ab91-5291d73bc956
13,a27a036a-18c3-4c67-b50e-0c3190f579b9,Katalin,Puttick,katalin.puttick@hotmail.com,Katalin Puttick,614c9cfd-9995-47c6-91e3-6d34a7c59c5f,Manager,a27a036a-18c3-4c67-b,2024-11-07 11:52:56,1,2024-11-07 11:52:57,2024-10-21 18:15:08,2024-11-07 11:52:57,a27a036a-18c3-4c67-b50e-0c3190f579b9,a27a036a-18c3-4c67-b50e-0c3190f579b9,a27a036a-18c3-4c67-b50e-0c3190f579b9,kputtick62502,Katalin,Puttick,366 Fillmore Place,366 Fillmore Place,Salt Lake City,UT,84105,1,1,1,a27a036a-18c3-4c67-b50e-0c3190f579b9,a27a036a-18c3-4c67-b50e-0c3190f579b9
14,59a256e5-b7df-431d-b010-0e15a93af58e,Mandi,Spurryer,mandi.spurryer@hotmail.com,Mandi Spurryer,03d21b55-1683-4d88-acf7-8b08ae2b6b23,Intern,59a256e5-b7df-431d-b,2025-06-24 05:47:37,0,2025-06-24 05:47:38,2024-10-21 18:16:21,2025-06-24 05:47:38,59a256e5-b7df-431d-b010-0e15a93af58e,59a256e5-b7df-431d-b010-0e15a93af58e,59a256e5-b7df-431d-b010-0e15a93af58e,mspurryer40528,Mandi,Spurryer,9766 Cardinal Court,9766 Cardinal Court,South Bend,IN,46620,0,0,0,59a256e5-b7df-431d-b010-0e15a93af58e,59a256e5-b7df-431d-b010-0e15a93af58e
15,d6938362-61e1-432e-a9e9-4c392df8f765,Simmonds,Marqyes,simmonds.marqyes@bigpond.com,Simmonds Marqyes,80e5dc4b-c2a1-4e06-beef-b66d4d6da421,Coordinator,d6938362-61e1-432e-a,2025-02-14 09:14:39,0,2025-02-14 09:14:40,2024-10-21 18:23:12,2025-02-14 09:14:40,d6938362-61e1-432e-a9e9-4c392df8f765,d6938362-61e1-432e-a9e9-4c392df8f765,d6938362-61e1-432e-a9e9-4c392df8f765,smarqyes8213,Simmonds,Marqyes,4430 Ingleside Drive,4430 Ingleside Drive,Corpus Christi,TX,78465,1,1,1,d6938362-61e1-432e-a9e9-4c392df8f765,d6938362-61e1-432e-a9e9-4c392df8f765
16,e1ea1e86-0960-46e7-b70a-b10d19ed0905,Ezequiel,Mangin,ezequiel.mangin@gmail.com,Ezequiel Mangin,7db16846-421b-4ef5-88b8-8922e5f73474,Administrator,e1ea1e86-0960-46e7-b,2025-09-23 18:07:39,1,2025-09-23 18:07:40,2024-10-21 18:26:51,2025-09-23 18:07:40,e1ea1e86-0960-46e7-b70a-b10d19ed0905,e1ea1e86-0960-46e7-b70a-b10d19ed0905,e1ea1e86-0960-46e7-b70a-b10d19ed0905,emangin53429,Ezequiel,Mangin,13527 Van Buren Way,13527 Van Buren Way,San Jose,CA,95150,0,0,0,e1ea1e86-0960-46e7-b70a-b10d19ed0905,e1ea1e86-0960-46e7-b70a-b10d19ed0905
17,9787f2f0-d209-455d-9352-516b2189ed97,Jordana,Agerskow,jordana.agerskow@hotmail.fr,Jordana Agerskow,d57c6f43-7dac-42c7-8014-29d40fc463fc,Team Lead,9787f2f0-d209-455d-9,2024-12-17 03:06:26,0,2024-12-17 03:06:27,2024-10-21 18:35:57,2024-12-17 03:06:27,9787f2f0-d209-455d-9352-516b2189ed97,9787f2f0-d209-455d-9352-516b2189ed97,9787f2f0-d209-455d-9352-516b2189ed97,jagerskow13578,Jordana,Agerskow,1995 Winnsboro Drive,1995 Winnsboro Drive,Austin,TX,78721,1,1,1,9787f2f0-d209-455d-9352-516b2189ed97,9787f2f0-d209-455d-9352-516b2189ed97
