organization_id,organization_key,name,address,city,state,zip,type,bank_account,created_dtm
19,47f0fb52-480c-44b3-a3b0-4695a96a4855,pSivida Corp.,597 Hobbs Court,Erie,Pennsylvania,16534,Temporary,KS83HLUU6361661392,2024-10-21 18:32:15
298,0cbf2bcd-c5ec-4cb1-9673-68380076da1c,iStar Financial Inc.,11149 Beebe Court,Wilmington,Delaware,19886,Reseller,CE00VGME3812399635,2024-10-22 21:08:15
433,c52c8c60-d4f9-4126-a0fc-efdf167f1861,iShares S&P Emerging Markets Infrastructure Index Fund,10980 Osborne Street,Knoxville,Tennessee,37939,Nonprofit,KO68CYRO7002052992,2024-10-23 09:02:19
126,5cdf9011-f430-418c-880d-bf1957df5df6,iShares MSCI New Zealand Capped ETF,10066 Millsap Avenue,Washington,District of Columbia,20525,Premium,MP35NPFE5600576495,2024-10-22 04:34:01
128,900bc0e9-16b4-453b-9259-3dfce4c07255,iShares MSCI Europe Small-Cap ETF,5136 Flanders Place,Philadelphia,Pennsylvania,19136,Affiliate,ZC17EKGO6539310218,2024-10-22 04:43:10
465,924f5b9c-860f-4711-9979-31efb6a5b53d,iShares Commodities Select Strategy ETF,13273 Westmont Place,Staten Island,New York,10310,Reseller,QO79TSZW9832110233,2024-10-23 11:51:19
143,25707cbf-566f-47b8-b243-0f82b77fc5be,iPath US Treasury Long Bond Bear ETN,12808 Hollywood Terrace,El Paso,Texas,88514,Basic,AX81ETHE2138275896,2024-10-22 06:01:45
244,d4049826-4997-4fe6-b5f6-46fce1a45ae8,argenx SE,10661 Leigh Lane,Kansas City,Missouri,64199,Enterprise,HI70MGOC7354736785,2024-10-22 15:45:45
373,2c4ea788-c748-4dba-b53c-0bc3d4f72165,Zymeworks Inc.,2486 Fenster Lane,Olympia,Washington,98516,Moderator,EL81ULRT8647164470,2024-10-23 03:28:57
349,4096742f-83aa-4857-9e8d-ada7114cef1c,Zhaopin Limited,3652 Millhorn Loop,Charlotte,North Carolina,28247,Trial,OA01ATOY8802390243,2024-10-23 01:14:01
365,b70162d8-bd2d-4efe-a7be-7142ea5ac63a,"Xcel Brands, Inc",13036 Raes Hall Avenue,New York City,New York,10004,Lifetime,TK80GQVA3309278398,2024-10-23 02:38:07
292,677d5ec6-070a-41ea-a21e-95b1162ffb23,Xactly Corporation,12222 Nordic Lane,Honolulu,Hawaii,96810,Basic,YB80SZQW6716019841,2024-10-22 20:26:15
153,771d52e5-b0d5-4b4f-b24f-8c9226c2d6fa,"Worthington Industries, Inc.",2377 Delwood Way,Indianapolis,Indiana,46207,Admin,SF85KFKG8459562616,2024-10-22 07:03:10
405,56fd0212-c422-4b6f-940e-ab3bc1e08508,"Wolverine World Wide, Inc.",6867 Barrineau Place,Tampa,Florida,33610,Individual,XV25EPEQ0240903811,2024-10-23 06:29:02
54,cd9b13c2-9998-4563-9d09-afc9bfdad9e0,"Windstream Holdings, Inc.",13391 Keel Court,Silver Spring,Maryland,20904,Reseller,TV94WICI0427994346,2024-10-21 21:47:38
285,6471b500-c727-48f2-b8ab-554acf966501,Westwood Holdings Group Inc,10149 Ingleside Drive,Memphis,Tennessee,38181,Partner,EK78ZCTA8772252421,2024-10-22 19:43:27
240,02dfa69e-f198-466a-8bf3-62a7169f37a5,"Western New England Bancorp, Inc.",8385 Armondo Drive,San Jose,California,95138,Individual,JW53SWHB2161427165,2024-10-22 15:19:18
431,6f81fc2f-7731-4c13-b320-bf9f03eb5af7,"Western Asset Municipal High Income Fund, Inc.",10865 Veronica Court,Amarillo,Texas,79105,Reseller,RC35YGAL7475249746,2024-10-23 08:52:33
215,23fc310b-51f0-4a00-aa0b-dd7bc3892a01,"Watsco, Inc.",5285 Barboza Drive,Springfield,Missouri,65898,Moderator,MY70KGMQ5365209097,2024-10-22 12:53:11
131,eecd4421-368f-4f19-88ec-3a944207837e,"Waterstone Financial, Inc.",12093 Paradise Drive,Phoenix,Arizona,85005,Business,HQ15QDXF5187864429,2024-10-22 04:54:28
276,4ab64956-09fb-4299-be66-cb3a3989292f,"Washington Trust Bancorp, Inc.",11894 Ravine Road,Minneapolis,Minnesota,55412,Trial,JD89BTEG3737100588,2024-10-22 18:47:32
