user_id,user_key,first_name,last_name,email_address,normalized_name,organization_key,role_type,treasuryId,last_login,status,updated_date,imported_date,date_registered,card_id,employee_id,parent_key,sensitive_username,parent_first_name,parent_last_name,shipping_address,shipping_address2,shipping_city,shipping_state,shipping_zip,is_direct_pay_user,is_direct_pay_admin,is_direct_pay_license_admin,user_district_key,user_school_key
1,377cf2da-bd49-4eb7-b157-f7e95223f7ea,Nathanael,Newband,nathanael.newband@yahoo.com,Nathanael Newband,eecd4421-368f-4f19-88ec-3a944207837e,Contractor,377cf2da-bd49-4eb7-b,2025-04-09 01:26:13,0,2025-04-09 01:26:14,2024-10-21 17:13:44,2025-04-09 01:26:14,377cf2da-bd49-4eb7-b157-f7e95223f7ea,377cf2da-bd49-4eb7-b157-f7e95223f7ea,377cf2da-bd49-4eb7-b157-f7e95223f7ea,nnewband48961,Nathanael,Newband,6636 Iglesia Street,6636 Iglesia Street,Dallas,TX,75205,1,1,1,377cf2da-bd49-4eb7-b157-f7e95223f7ea,377cf2da-bd49-4eb7-b157-f7e95223f7ea
2,2f65792d-f3bd-496c-95ee-04657428ef39,Cassondra,Bosenworth,cassondra.bosenworth@gmail.com,Cassondra Bosenworth,dadb639f-34b3-4ba5-85e6-92a13df28fe6,Administrator,2f65792d-f3bd-496c-9,2025-07-29 07:03:02,1,2025-07-29 07:03:03,2024-10-21 17:18:42,2025-07-29 07:03:03,2f65792d-f3bd-496c-95ee-04657428ef39,2f65792d-f3bd-496c-95ee-04657428ef39,2f65792d-f3bd-496c-95ee-04657428ef39,cbosenworth49614,Cassondra,Bosenworth,11207 Joyce Hughes Way,11207 Joyce Hughes Way,Saint Louis,MO,63104,0,0,0,2f65792d-f3bd-496c-95ee-04657428ef39,2f65792d-f3bd-496c-95ee-04657428ef39
3,99f3fc31-385e-4366-b0c0-fbf7f8fed5bd,Hussein,Rosensaft,hussein.rosensaft@hotmail.com,Hussein Rosensaft,af20fd13-d189-4278-ad4e-fe8a53e2b8f6,Intern,99f3fc31-385e-4366-b,2024-10-31 09:07:30,0,2024-10-31 09:07:31,2024-10-21 17:26:25,2024-10-31 09:07:31,99f3fc31-385e-4366-b0c0-fbf7f8fed5bd,99f3fc31-385e-4366-b0c0-fbf7f8fed5bd,99f3fc31-385e-4366-b0c0-fbf7f8fed5bd,hrosensaft26313,Hussein,Rosensaft,74 Border Court,74 Border Court,Tempe,AZ,85284,1,1,1,99f3fc31-385e-4366-b0c0-fbf7f8fed5bd,99f3fc31-385e-4366-b0c0-fbf7f8fed5bd
4,a017527b-6817-4c97-bca1-4a023eacfd79,Ravi,Sweet,ravi.sweet@yahoo.com,Ravi Sweet,3a6ca624-c463-4622-983c-e688e66b48c2,Developer,a017527b-6817-4c97-b,2025-08-01 22:25:43,1,2025-08-01 22:25:44,2024-10-21 17:27:27,2025-08-01 22:25:44,a017527b-6817-4c97-bca1-4a023eacfd79,a017527b-6817-4c97-bca1-4a023eacfd79,a017527b-6817-4c97-bca1-4a023eacfd79,rsweet19347,Ravi,Sweet,11356 English Ivy Circle,11356 English Ivy Circle,Fort Smith,AR,72916,0,0,0,a017527b-6817-4c97-bca1-4a023eacfd79,a017527b-6817-4c97-bca1-4a023eacfd79
5,097f4155-11a9-4eb0-8d42-23f7d1373988,Cher,Legier,cher.legier@gmail.com,Cher Legier,72017e0c-31f4-4bad-abf1-8520c3b74394,Team Lead,097f4155-11a9-4eb0-8,2025-04-23 02:13:18,0,2025-04-23 02:13:19,2024-10-21 17:35:15,2025-04-23 02:13:19,097f4155-11a9-4eb0-8d42-23f7d1373988,097f4155-11a9-4eb0-8d42-23f7d1373988,097f4155-11a9-4eb0-8d42-23f7d1373988,clegier18427,Cher,Legier,7212 Blackberry Avenue,7212 Blackberry Avenue,Little Rock,AR,72209,1,1,1,097f4155-11a9-4eb0-8d42-23f7d1373988,097f4155-11a9-4eb0-8d42-23f7d1373988
6,c76fe2e3-3dd2-4a5e-902f-5b379a0b131f,Cathyleen,Sainsbury,cathyleen.sainsbury@gmail.com,Cathyleen Sainsbury,6bd73937-eab6-4dab-9f0d-6e51c768e502,Analyst,c76fe2e3-3dd2-4a5e-9,2025-03-25 03:43:33,1,2025-03-25 03:43:34,2024-10-21 17:40:34,2025-03-25 03:43:34,c76fe2e3-3dd2-4a5e-902f-5b379a0b131f,c76fe2e3-3dd2-4a5e-902f-5b379a0b131f,c76fe2e3-3dd2-4a5e-902f-5b379a0b131f,csainsbury9106,Cathyleen,Sainsbury,6023 Elgin Street,6023 Elgin Street,Sarasota,FL,34233,1,1,1,c76fe2e3-3dd2-4a5e-902f-5b379a0b131f,c76fe2e3-3dd2-4a5e-902f-5b379a0b131f
7,1bf03ef1-20f6-45fd-bd42-a4f4f983b8c5,Morten,Ducket,morten.ducket@yahoo.com,Morten Ducket,0e6aa0f9-daa7-4993-9427-21f5f9a4ea06,Consultant,1bf03ef1-20f6-45fd-b,2025-03-26 23:54:01,1,2025-03-26 23:54:02,2024-10-21 17:45:10,2025-03-26 23:54:02,1bf03ef1-20f6-45fd-bd42-a4f4f983b8c5,1bf03ef1-20f6-45fd-bd42-a4f4f983b8c5,1bf03ef1-20f6-45fd-bd42-a4f4f983b8c5,mducket20305,Morten,Ducket,6099 Ulelah Street,6099 Ulelah Street,Denver,CO,80223,1,1,1,1bf03ef1-20f6-45fd-bd42-a4f4f983b8c5,1bf03ef1-20f6-45fd-bd42-a4f4f983b8c5
8,e692db0f-1d97-493d-9be8-c29842fd75f8,Claudell,Mabbe,claudell.mabbe@yahoo.com,Claudell Mabbe,e2796b3f-703c-4d91-8c85-af4ef7ac05ec,Guest,e692db0f-1d97-493d-9,2025-02-14 08:34:18,0,2025-02-14 08:34:19,2024-10-21 17:49:49,2025-02-14 08:34:19,e692db0f-1d97-493d-9be8-c29842fd75f8,e692db0f-1d97-493d-9be8-c29842fd75f8,e692db0f-1d97-493d-9be8-c29842fd75f8,cmabbe58221,Claudell,Mabbe,4429 Burgett Court,4429 Burgett Court,Phoenix,AZ,85040,1,1,1,e692db0f-1d97-493d-9be8-c29842fd75f8,e692db0f-1d97-493d-9be8-c29842fd75f8
9,24936a96-2a63-4825-b175-a6a5aecc0a9a,Maurits,Neles,maurits.neles@gmail.com,Maurits Neles,ea037148-d6ce-4541-b852-84d8d24b0ff3,Coordinator,24936a96-2a63-4825-b,2024-12-10 07:18:28,0,2024-12-10 07:18:29,2024-10-21 17:53:28,2024-12-10 07:18:29,24936a96-2a63-4825-b175-a6a5aecc0a9a,24936a96-2a63-4825-b175-a6a5aecc0a9a,24936a96-2a63-4825-b175-a6a5aecc0a9a,mneles42920,Maurits,Neles,1715 Norland Avenue,1715 Norland Avenue,Glendale,AZ,85311,1,1,1,24936a96-2a63-4825-b175-a6a5aecc0a9a,24936a96-2a63-4825-b175-a6a5aecc0a9a
10,81c8e4c0-ee41-4534-b141-a2d78b4bcd95,Kitty,Shimuk,kitty.shimuk@gmail.com,Kitty Shimuk,99c07eaf-2ff4-4d54-a5e4-87054cd61f63,Supervisor,81c8e4c0-ee41-4534-b,2025-02-09 05:41:06,1,2025-02-09 05:41:07,2024-10-21 17:55:29,2025-02-09 05:41:07,81c8e4c0-ee41-4534-b141-a2d78b4bcd95,81c8e4c0-ee41-4534-b141-a2d78b4bcd95,81c8e4c0-ee41-4534-b141-a2d78b4bcd95,kshimuk55363,Kitty,Shimuk,4219 Allen Avenue,4219 Allen Avenue,Saint Paul,MN,55123,1,1,1,81c8e4c0-ee41-4534-b141-a2d78b4bcd95,81c8e4c0-ee41-4534-b141-a2d78b4bcd95
