vendor_id,vendor_key,NAME,company_type,display_name,street_address,state,zip,url,created_date,first_name,last_name,email_address,phone,punch_out_type,direct_pay_fee,cogs_discount
1,377cf2da-bd49-4eb7-b157-f7e95223f7ea,"Rocky Mountain Chocolate Factory, Inc.",Partnership,"Rocky Mountain Chocolate Factory, Inc.",6636 Iglesia Street,Texas,75205,https://intel.com/quidem/ille.pdf?,2024-10-21 17:13:44,Nathanael,Newband,nathanael.newband@yahoo.com,(469) 756-0048,Personal Errand,93.89,93.89
2,2f65792d-f3bd-496c-95ee-04657428ef39,"Micronet Enertec Technologies, Inc.",Private,"Micronet Enertec Technologies, Inc.",11207 Joyce Hughes Way,Missouri,63104,https://nytimes.com/et/fruuntur.jpeg?aliud&sit&nisi,2024-10-21 17:18:42,Cassondra,Bosenworth,cassondra.bosenworth@gmail.com,(314) 294-4065,Early Departure,113.41,113.41
3,99f3fc31-385e-4366-b0c0-fbf7f8fed5bd,El Paso Electric Company,Sole Proprietorship,El Paso Electric Company,74 Border Court,Arizona,85284,https://ft.com/et/animi/et/molestiam/dolor/mucius.nrg?dicunt&ii,2024-10-21 17:26:25,Hussein,Rosensaft,hussein.rosensaft@hotmail.com,(480) 138-0601,Medical Appointment,17.11,17.11
4,a017527b-6817-4c97-bca1-4a023eacfd79,"Roadrunner Transportation Systems, Inc",Holding,"Roadrunner Transportation Systems, Inc",11356 English Ivy Circle,Arkansas,72916,https://mozilla.org/quod/propositum/est/tibi.yaml?perveniri&potest&non&modo,2024-10-21 17:27:27,Ravi,Sweet,ravi.sweet@yahoo.com,(479) 887-3534,Overtime End,153.94,153.94
5,097f4155-11a9-4eb0-8d42-23f7d1373988,HDFC Bank Limited,Joint Venture,HDFC Bank Limited,7212 Blackberry Avenue,Arkansas,72209,https://edublogs.org/confidam/certe/inquam/pertinax/non/qua.avi?dixerit&per,2024-10-21 17:35:15,Cher,Legier,cher.legier@gmail.com,(501) 843-0397,Field Visit,98.28,98.28
6,c76fe2e3-3dd2-4a5e-902f-5b379a0b131f,Independent Bank Corporation,Franchise,Independent Bank Corporation,6023 Elgin Street,Florida,34233,https://icq.com/tribus/igitur/modis/atque.deb?aspernari&ut,2024-10-21 17:40:34,Cathyleen,Sainsbury,cathyleen.sainsbury@gmail.com,(941) 537-7846,Overtime Start,87.78,87.78
7,1bf03ef1-20f6-45fd-bd42-a4f4f983b8c5,LaSalle Hotel Properties,Cooperative,LaSalle Hotel Properties,6099 Ulelah Street,Colorado,80223,http://1und1.de/lucilius/apud/quem/praeclare/scaevola/et.mov?voluptatum,2024-10-21 17:45:10,Morten,Ducket,morten.ducket@yahoo.com,(720) 232-9262,Meeting,95.72,95.72
8,e692db0f-1d97-493d-9be8-c29842fd75f8,"MidWestOne Financial Group, Inc.",Limited Liability,"MidWestOne Financial Group, Inc.",4429 Burgett Court,Arizona,85040,https://dell.com/nobis/iniucundus/labor/iis/aut.aac?convenire&epicurus,2024-10-21 17:49:49,Claudell,Mabbe,claudell.mabbe@yahoo.com,(480) 539-9897,Training,73.68,73.68
9,24936a96-2a63-4825-b175-a6a5aecc0a9a,Cabot Corporation,Corporation,Cabot Corporation,1715 Norland Avenue,Arizona,85311,http://t.co/ipsum/efficitur/in/quamquam.key?possumus&quam,2024-10-21 17:53:28,Maurits,Neles,maurits.neles@gmail.com,(602) 184-4729,Emergency Leave,11.31,11.31
10,81c8e4c0-ee41-4534-b141-a2d78b4bcd95,Kaman Corporation,Nonprofit,Kaman Corporation,4219 Allen Avenue,Minnesota,55123,https://epa.gov/quamquam/utriusque/cum/multa/non/expressas.deb?nasci&fatemur&e&corporis,2024-10-21 17:55:29,Kitty,Shimuk,kitty.shimuk@gmail.com,(651) 141-4967,Break,74.63,74.63
