organization_id,organization_key,name,address,city,state,zip,type,bank_account,created_dtm
342,2a5e6def-7676-44d9-9330-de8182ce4aad,8point3 Energy Partners LP,4791 Limerick Lane,Bakersfield,California,93386,Student,4678237353274138,2024-10-11 22:01:43
277,7ade9260-8f82-471e-8b59-3d6bd0c4bbca,"ADTRAN, Inc.",2534 Bradford Loop,Paterson,New Jersey,07505,Premium,4571460003277279547,2024-10-11 16:15:39
2,b4df50e8-f874-4f09-af0f-38916c29626e,AGNC Investment Corp.,5255 Ventura Drive,Winston Salem,North Carolina,27110,Educational,348001522836960,2024-10-10 15:04:37
7,7b39eaac-db88-44d3-b216-6c3ddf01aa93,AMREP Corporation,299 Gompers Place,Topeka,Kansas,66617,VIP,4806132847993549,2024-10-10 15:34:30
302,fcdc2b8a-62e2-4aae-8ab6-3527337e554c,Access National Corporation,14927 Isleworth Circle,Las Vegas,Nevada,89140,VIP,5163690248558991,2024-10-11 18:12:58
56,c532c72f-7822-4c92-beda-5a3ced800565,"Achillion Pharmaceuticals, Inc.",7130 Lopez Lane,Billings,Montana,59105,Nonprofit,6011925290888066,2024-10-10 19:55:45
84,f7a996ff-ab25-4819-9352-c9e9a040f7d1,Acushnet Holdings Corp.,6644 Pacillo Place,Ogden,Utah,84403,Moderator,4616872219007307173,2024-10-10 22:14:54
228,6f7b8ab5-9223-4b69-a42e-7c0ca0f1f13d,Acxiom Corporation,6098 Brewton Terrace,San Francisco,California,94169,Government,5403822045690103,2024-10-11 11:53:39
247,63589abf-a282-4f7e-a8c0-1142dd963d52,Adtalem Global Education Inc.,5628 Darby Place,Newark,New Jersey,07112,Guest,4372388157637720,2024-10-11 13:45:29
405,6d16a836-cc76-4195-a992-1500ca548f23,Advanced Accelerator Applications S.A.,7807 Tate Terrace,Salem,Oregon,97312,Professional,6011610718696610,2024-10-12 03:40:50
384,c5ba67aa-ac35-4178-a91b-9896850c3193,"Adverum Biotechnologies, Inc.",10097 Bednarik Place,Carol Stream,Illinois,60351,Enterprise,4902730199139,2024-10-12 01:44:26
215,b9931c2e-ab34-4165-b04a-d0c3dba59a5e,"Aerojet Rocketdyne Holdings, Inc. ",9926 Indianwood Road,Atlanta,Georgia,31106,Partner,375163570736315,2024-10-11 10:34:16
362,879315e7-7bdf-4610-82af-d55c59761905,"Agilysys, Inc.",10158 Montrose Court,Savannah,Georgia,31410,Standard,5145445488087620,2024-10-11 23:44:07
87,ee09d128-bbbc-4d52-a709-7382885c88dc,Aircastle Limited,7301 Chapin Court,Galveston,Texas,77554,Enterprise,379922350463048,2024-10-10 22:38:09
142,be449bc7-c169-45cc-bca3-4f463e54946c,Akari Therapeutics Plc,3323 Sunset Ridge Drive,Amarillo,Texas,79165,Moderator,5312043753963083,2024-10-11 03:53:14
319,6ccf7399-c818-4af9-ae1b-6f7deea1a8ae,Akers Biosciences Inc,5896 Cipriano Place,Moreno Valley,California,92555,Nonprofit,4426569389811276,2024-10-11 19:58:17
197,859fec3d-9e2e-4551-90ba-9090f8c240d0,Algonquin Power & Utilities Corp.,5851 Monument Way,Kalamazoo,Michigan,49006,Standard,6011371186305487,2024-10-11 08:54:04
96,25b8c8c7-2f49-49f9-b1ff-8bc9a5990d62,Alleghany Corporation,2219 Helmsdale Court,Mc Keesport,Pennsylvania,15134,Professional,6011596163312441,2024-10-10 23:19:42
317,fc84a265-4a21-4da8-a1e0-a93c0556d82c,Allegion plc,1278 Bryant Court,Cincinnati,Ohio,45999,Basic,375738519917872,2024-10-11 19:51:41
52,172a078d-1c08-4dbe-af46-8c22716fded8,Alliance World Dollar Government Fund II,10698 Robertson Way,North Little Rock,Arkansas,72199,Admin,4187445639762,2024-10-10 19:38:11
196,bbb83cac-d35e-4c97-8ce6-d69683a1d0ac,AllianzGI Convertible & Income Fund II,3077 Salmon Way,Shawnee Mission,Kansas,66276,Government,5321146555722828,2024-10-11 08:51:14
360,640b0550-8c10-440d-bd74-ea0651422f67,Almost Family Inc,3097 Alexa Place,Midland,Michigan,48670,Basic,375107451667016,2024-10-11 23:39:37
104,7d4e775c-1965-4e4d-a663-12ead3783ac4,"Altimmune, Inc.",4989 Frymier Avenue,Colorado Springs,Colorado,80940,Educational,4629478007836537619,2024-10-11 00:10:18
210,d15b0444-90e7-429a-9642-cc7f0f09b618,Altria Group,6274 Tom Lane,Beaumont,Texas,77713,Basic,4955055023503,2024-10-11 10:03:49
344,e4667d48-c5de-47e7-8c56-d7b1c4880cd5,"AmTrust Financial Services, Inc.",12599 Deskin Lane,Minneapolis,Minnesota,55441,Enterprise,378857158038104,2024-10-11 22:10:00
451,08d57218-286b-4dcb-9ce0-ac49b0ef9cc6,Ambev S.A.,14220 Avalon Avenue,Kalamazoo,Michigan,49048,VIP,5554329750990105,2024-10-12 07:43:30
395,999f776d-3067-4d58-bb4e-e5824dbbefd0,AmeriServ Financial Inc.,13474 Paisley Way,Monticello,Minnesota,55565,Moderator,5474408717685607,2024-10-12 02:52:59
159,18dc8e95-59eb-4b7a-88b0-c77854fb9b42,"American Airlines Group, Inc.",10900 Sweetgum Street,Louisville,Kentucky,40225,Trial,4382673439824537117,2024-10-11 05:28:38
252,575d6dc7-5798-4e4c-8c16-537683e5dcf8,American Campus Communities Inc,12571 Erica Chambers Avenue,Bridgeport,Connecticut,06606,Basic,371404261881928,2024-10-11 14:07:12
72,459b745e-31d1-4e33-b9da-6e7961051940,"American Financial Group, Inc.",1294 Constance Court,Bronx,New York,10464,Admin,5265889108649497,2024-10-10 21:16:13
243,ad4c75a4-960f-448c-9c0f-37121a6ae61c,"American Financial Group, Inc.",10958 Bryant Court,Chicago,Illinois,60630,Corporate,6011672301641239,2024-10-11 13:12:31
323,70abca42-8dd5-4ce7-ba41-1ff1affdcc61,American Homes 4 Rent,13383 Dray Drive,Portsmouth,New Hampshire,03804,Admin,6011955753865822,2024-10-11 20:14:48
227,221e64fe-0dad-47c8-b234-c677e662873c,"American International Group, Inc.",13035 Broughton Place,Gadsden,Alabama,35905,Family,5236992181285449,2024-10-11 11:44:50
100,2ff02b28-71a5-4063-bd17-fd71cba636dd,American Tower Corporation (REIT),7300 Le Flore Lane,Tucson,Arizona,85732,Partner,374741694627792,2024-10-10 23:37:22
232,dae22c2c-4db8-4299-8602-9f3c0a4ec7e8,Anavex Life Sciences Corp.,7719 Sugar Creek Path,Denver,Colorado,80291,Enterprise,341974203185061,2024-10-11 12:15:08
316,4bc87eb1-ddc7-4c6a-847d-cd97937fe59b,Andina Acquisition Corp. II,6258 Wickson Court,Birmingham,Alabama,35220,Educational,6011486513619465,2024-10-11 19:46:56
437,20612aca-50d1-48d4-9e28-56bd240a0028,AngloGold Ashanti Limited,7003 Lunsford Lane,Apache Junction,Arizona,85219,Trial,5354568668928259,2024-10-12 06:27:30
53,24019a39-da6e-4d02-a6bd-db8b1ea28617,Annaly Capital Management Inc,1484 Gatlin Place,Canton,Ohio,44710,Partner,4966896782937,2024-10-10 19:45:36
198,20c63479-cfca-469f-a8bb-2cefbb82bc9c,"Aoxin Tianli Group, Inc.",14264 Boiling Springs Court,Macon,Georgia,31205,Business,4389033858533460,2024-10-11 08:58:34
462,e9707915-3853-415d-84da-2e6d692ddaa7,"Apogee Enterprises, Inc.",12910 Rosella Place,Pueblo,Colorado,81010,Guest,4428633935837678,2024-10-12 08:50:52
449,6e38c632-9dee-4a24-b20e-8da5bd83e3c1,Apollo Commercial Real Estate Finance,14197 Mack Street,Jamaica,New York,11431,Educational,343582102635793,2024-10-12 07:32:41
266,8753ffe1-d3b4-413d-ae46-573ad1d5d405,"Applied Industrial Technologies, Inc.",13242 Ulelah Street,Lehigh Acres,Florida,33972,Enterprise,378911974628532,2024-10-11 15:14:33
380,20205a7d-727d-4301-8f66-8a9e95219d4c,Arc Logistic Partners LP,10507 Esparza Place,El Paso,Texas,88574,Family,5349801171855869,2024-10-12 01:23:53
127,9688f00a-7f7b-46c9-81cd-227468cebb8a,ArcelorMittal,4663 Silvana Way,Pompano Beach,Florida,33064,Moderator,4595352004102,2024-10-11 02:19:46
