user_id,user_key,first_name,last_name,email_address,normalized_name,organization_key,role_type,treasuryId,last_login,status,updated_date,imported_date,date_registered,card_id,employee_id,parent_key,sensitive_username,parent_first_name,parent_last_name,shipping_address,shipping_address2,shipping_city,shipping_state,shipping_zip,is_direct_pay_user,is_direct_pay_admin,is_direct_pay_license_admin,user_district_key,user_school_key
1,84155212-8405-463d-8223-58847830d3f0,Billie,Raison,billie.raison@web.de,Billie Raison,84155212-8405-463d-8223-58847830d3f0,Intern,84155212-8405-463d-8,2025-08-21 06:50:12,0,2025-08-21 06:50:12,2025-08-21 06:50:12,2025-08-21 06:50:12,84155212-8405-463d-8223-58847830d3f0,84155212-8405-463d-8223-58847830d3f0,84155212-8405-463d-8223-58847830d3f0,braison22956,Billie,Raison,12926 Stonebrook Lane,12926 Stonebrook Lane,Miami,FL,33153,0,0,0,84155212-8405-463d-8223-58847830d3f0,84155212-8405-463d-8223-58847830d3f0
2,b4df50e8-f874-4f09-af0f-38916c29626e,Winna,Pingstone,winna.pingstone@hotmail.co.uk,Winna Pingstone,b4df50e8-f874-4f09-af0f-38916c29626e,Project Lead,b4df50e8-f874-4f09-a,2025-02-15 14:58:21,1,2025-02-15 14:58:21,2025-02-15 14:58:21,2025-02-15 14:58:21,b4df50e8-f874-4f09-af0f-38916c29626e,b4df50e8-f874-4f09-af0f-38916c29626e,b4df50e8-f874-4f09-af0f-38916c29626e,wpingstone3940,Winna,Pingstone,5255 Ventura Drive,5255 Ventura Drive,Winston Salem,NC,27110,1,1,1,b4df50e8-f874-4f09-af0f-38916c29626e,b4df50e8-f874-4f09-af0f-38916c29626e
3,49616923-33aa-47d1-86b5-6049ebf14930,Myriam,Marder,myriam.marder@yahoo.it,Myriam Marder,49616923-33aa-47d1-86b5-6049ebf14930,Employee,49616923-33aa-47d1-8,2025-06-30 02:29:47,0,2025-06-30 02:29:47,2025-06-30 02:29:47,2025-06-30 02:29:47,49616923-33aa-47d1-86b5-6049ebf14930,49616923-33aa-47d1-86b5-6049ebf14930,49616923-33aa-47d1-86b5-6049ebf14930,mmarder46328,Myriam,Marder,10781 Melissa Lane,10781 Melissa Lane,Topeka,KS,66667,0,0,0,49616923-33aa-47d1-86b5-6049ebf14930,49616923-33aa-47d1-86b5-6049ebf14930
4,f619d4c9-b373-446d-b99c-f298bb001b95,Kingston,Tellenbrok,kingston.tellenbrok@gmail.com,Kingston Tellenbrok,f619d4c9-b373-446d-b99c-f298bb001b95,Executive,f619d4c9-b373-446d-b,2024-11-01 17:05:15,1,2024-11-01 17:05:15,2024-11-01 17:05:15,2024-11-01 17:05:15,f619d4c9-b373-446d-b99c-f298bb001b95,f619d4c9-b373-446d-b99c-f298bb001b95,f619d4c9-b373-446d-b99c-f298bb001b95,ktellenbrok52658,Kingston,Tellenbrok,903 Pensacola Place,903 Pensacola Place,Baton Rouge,LA,70883,1,1,1,f619d4c9-b373-446d-b99c-f298bb001b95,f619d4c9-b373-446d-b99c-f298bb001b95
5,34aa33f0-fb3c-4198-a40b-4c42d4495917,Dusty,Bussens,dusty.bussens@hotmail.com,Dusty Bussens,34aa33f0-fb3c-4198-a40b-4c42d4495917,Technician,34aa33f0-fb3c-4198-a,2025-09-16 08:14:52,1,2025-09-16 08:14:52,2025-09-16 08:14:52,2025-09-16 08:14:52,34aa33f0-fb3c-4198-a40b-4c42d4495917,34aa33f0-fb3c-4198-a40b-4c42d4495917,34aa33f0-fb3c-4198-a40b-4c42d4495917,dbussens45736,Dusty,Bussens,13996 Tamarindo Drive,13996 Tamarindo Drive,Oklahoma City,OK,73124,0,0,0,34aa33f0-fb3c-4198-a40b-4c42d4495917,34aa33f0-fb3c-4198-a40b-4c42d4495917
6,3c8ec7a4-5163-4aa6-954b-7deebbda0dd7,Ailey,Sexton,ailey.sexton@yahoo.com,Ailey Sexton,3c8ec7a4-5163-4aa6-954b-7deebbda0dd7,Director,3c8ec7a4-5163-4aa6-9,2025-06-25 19:03:04,0,2025-06-25 19:03:04,2025-06-25 19:03:04,2025-06-25 19:03:04,3c8ec7a4-5163-4aa6-954b-7deebbda0dd7,3c8ec7a4-5163-4aa6-954b-7deebbda0dd7,3c8ec7a4-5163-4aa6-954b-7deebbda0dd7,asexton30284,Ailey,Sexton,10604 Lartigue Lane,10604 Lartigue Lane,Houston,TX,77055,0,0,0,3c8ec7a4-5163-4aa6-954b-7deebbda0dd7,3c8ec7a4-5163-4aa6-954b-7deebbda0dd7
7,7b39eaac-db88-44d3-b216-6c3ddf01aa93,Else,Klebes,else.klebes@hotmail.co.uk,Else Klebes,7b39eaac-db88-44d3-b216-6c3ddf01aa93,Customer Support,7b39eaac-db88-44d3-b,2024-10-18 00:40:38,0,2024-10-18 00:40:38,2024-10-18 00:40:38,2024-10-18 00:40:38,7b39eaac-db88-44d3-b216-6c3ddf01aa93,7b39eaac-db88-44d3-b216-6c3ddf01aa93,7b39eaac-db88-44d3-b216-6c3ddf01aa93,eklebes10505,Else,Klebes,299 Gompers Place,299 Gompers Place,Topeka,KS,66617,1,1,1,7b39eaac-db88-44d3-b216-6c3ddf01aa93,7b39eaac-db88-44d3-b216-6c3ddf01aa93
8,aa5348cd-e869-4fcc-8e9e-a50933f66767,Tirrell,Holdren,tirrell.holdren@libero.it,Tirrell Holdren,aa5348cd-e869-4fcc-8e9e-a50933f66767,Manager,aa5348cd-e869-4fcc-8,2025-07-31 01:07:36,1,2025-07-31 01:07:36,2025-07-31 01:07:36,2025-07-31 01:07:36,aa5348cd-e869-4fcc-8e9e-a50933f66767,aa5348cd-e869-4fcc-8e9e-a50933f66767,aa5348cd-e869-4fcc-8e9e-a50933f66767,tholdren12478,Tirrell,Holdren,12053 Lisette Way,12053 Lisette Way,Atlanta,GA,31165,0,0,0,aa5348cd-e869-4fcc-8e9e-a50933f66767,aa5348cd-e869-4fcc-8e9e-a50933f66767
9,0ed71cc8-afbe-4feb-91af-88351cdbf944,Rosina,Acaster,rosina.acaster@outlook.com,Rosina Acaster,0ed71cc8-afbe-4feb-91af-88351cdbf944,Partner,0ed71cc8-afbe-4feb-9,2025-05-22 23:53:07,0,2025-05-22 23:53:07,2025-05-22 23:53:07,2025-05-22 23:53:07,0ed71cc8-afbe-4feb-91af-88351cdbf944,0ed71cc8-afbe-4feb-91af-88351cdbf944,0ed71cc8-afbe-4feb-91af-88351cdbf944,racaster6426,Rosina,Acaster,9215 Denaud Place,9215 Denaud Place,Chicago,IL,60681,0,0,0,0ed71cc8-afbe-4feb-91af-88351cdbf944,0ed71cc8-afbe-4feb-91af-88351cdbf944
10,dfcd9f6e-78f8-4c67-85ff-54a68af006ee,Lind,Klewi,lind.klewi@gmail.com,Lind Klewi,dfcd9f6e-78f8-4c67-85ff-54a68af006ee,Trainer,dfcd9f6e-78f8-4c67-8,2025-06-22 11:56:40,1,2025-06-22 11:56:40,2025-06-22 11:56:40,2025-06-22 11:56:40,dfcd9f6e-78f8-4c67-85ff-54a68af006ee,dfcd9f6e-78f8-4c67-85ff-54a68af006ee,dfcd9f6e-78f8-4c67-85ff-54a68af006ee,lklewi7962,Lind,Klewi,10469 Vicksburg Avenue,10469 Vicksburg Avenue,Salt Lake City,UT,84135,0,0,0,dfcd9f6e-78f8-4c67-85ff-54a68af006ee,dfcd9f6e-78f8-4c67-85ff-54a68af006ee
